customer_id,Total_Spending_2022_2023,Average_Daily_Spending_2022_2023,Actual_Lifetime_2022_2023(days),Total_Spending_2023_2024,Average_Daily_Spending_2023_2024,Actual_Lifetime_2023_2024(days),LTV_2022_2023($),LTV_2023_2024($)
391,116.0,0.8467153284671532,137.0,,,,94.66948549047532,
392,988.0,2.7444444444444445,360.0,380.4,1.174074074074074,324.0,306.8506436314363,126.97586685159501
394,25.9,0.18368794326241134,141.0,38.0,0.18095238095238095,210.0,20.53776811970247,19.56996235387359
395,12.5,0.08116883116883117,154.0,24.9,0.20080645161290323,124.0,9.075318736141906,21.717175965281196
397,127.8,1.7506849315068493,73.0,547.2,1.688888888888889,324.0,195.74045272302035,182.65298196948686
398,,,,9.7,0.3464285714285714,28.0,,37.466177927481674
401,10.600000000000001,0.1325,80.0,,,,14.814550304878049,
404,45.9,1.02,45.0,235.7,1.0617117117117116,222.0,114.04408536585365,114.82390073846385
405,102.0,0.8717948717948718,117.0,,,,97.47357723577235,
407,8.8,8.8,1.0,43.2,0.5468354430379747,79.0,983.909756097561,59.14013939851473
408,959.7,2.7979591836734694,343.0,875.4,2.4452513966480445,358.0,312.8340156794425,264.4534298266684
409,196.4,0.5810650887573965,338.0,165.4,0.6058608058608059,273.0,64.96768292682927,65.52372010790874
414,4.4,4.4,1.0,,,,491.9548780487805,
421,139.3,0.4158208955223881,335.0,313.3,0.9380239520958085,334.0,46.49207226064798,101.44709526854753
422,294.2,0.9774086378737541,301.0,691.3,2.0948484848484847,330.0,109.28203346568348,226.55742781490355
425,23.2,0.12146596858638743,191.0,18.599999999999998,0.06863468634686345,271.0,13.580858127953006,7.422827049352323
426,57.0,1.14,50.0,52.1,0.2605,200.0,127.46103658536583,28.173020804438284
429,43.3,43.3,1.0,,,,4841.283231707316,
435,82.0,2.8275862068965516,29.0,554.6,2.1749019607843136,255.0,316.1465517241379,235.21519458268745
441,,,,18.0,18.0,1.0,,1946.6962552011096
443,96.1,0.3150819672131147,305.0,153.6,3.4909090909090907,44.0,35.22866153538584,377.54109191779094
446,1812.9,5.049860724233984,359.0,1721.5,4.742424242424242,363.0,564.614458353149,512.8921951834574
447,24.0,0.24242424242424243,99.0,,,,27.104951958610492,
450,508.1,3.024404761904762,168.0,1610.9,4.413424657534247,365.0,338.1524263211382,477.3109585241199
451,574.9,1.614887640449438,356.0,454.2,1.2977142857142856,350.0,180.55723914086047,140.34753001783238
460,9.9,9.9,1.0,,,,1106.8984756097561,
465,420.7,1.226530612244898,343.0,92.7,0.26335227272727274,352.0,137.1358449477352,28.48149350649351
470,4.9,4.9,1.0,36.4,36.4,1.0,547.8588414634146,3936.652427184466
475,145.2,0.6285714285714286,231.0,134.7,3.4538461538461536,39.0,70.27926829268291,373.53274298517016
482,20.0,0.3508771929824561,57.0,,,,39.2308515190415,
483,425.20000000000005,2.1260000000000003,200.0,,,,237.7036524390244,
488,,,,41.5,0.5845070422535211,71.0,,63.21431501631147
492,96.3,0.4652173913043478,207.0,141.1,0.5304511278195488,266.0,52.01499204665959,57.36817911630671
496,41.7,0.3111940298507463,134.0,,,,34.79395931925737,
504,4.4,4.4,1.0,9.399999999999999,0.06527777777777777,144.0,491.9548780487805,7.059778085991677
510,,,,24.5,24.5,1.0,,2649.6699029126216
511,123.8,0.6252525252525253,198.0,,,,69.90818859324956,
515,17.0,0.0794392523364486,214.0,,,,8.881938112605424,
519,626.3,1.730110497237569,362.0,650.8000000000001,1.797790055248619,362.0,193.44006788168707,194.4306204550157
521,35.900000000000006,35.900000000000006,1.0,17.2,17.2,1.0,4013.904573170732,1860.1764216366157
537,35.5,35.5,1.0,,,,3969.181402439024,
538,154.7,0.4510204081632653,343.0,275.6,0.8034985422740526,343.0,50.427656794425076,86.89820018358049
541,79.7,0.577536231884058,138.0,140.1,0.7960227272727273,176.0,64.57312875574408,86.08969234648846
543,97.5,0.5357142857142857,182.0,,,,59.89710365853658,
544,39.0,0.29545454545454547,132.0,83.7,0.6246268656716418,134.0,33.03416019955654,67.55326557227731
551,186.2,0.7923404255319149,235.0,38.2,0.14415094339622642,265.0,88.58994032174363,15.589894538507838
554,16.7,0.21688311688311687,77.0,612.0,2.074576271186441,295.0,24.249251662971172,224.36499212487368
